id, t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,endangered, protect, species, help, act, sign, plz, congress, tell, petition
2,biodiversity, conservation, working, views, photo, now, environmental, sustainability, pacific, photos 
3,biodiversity, conservation, species, protect, blog, funds, photo, wild, need, lost                                                                                      
4,protect, species, endangered, must, people, native, wood, detectives, german, planet
5,conservation, species, research, funding, new, s, hunting, saves, proves, invasive                                                                                  
6,conservation, biodiversity, global, spending, loss, new, species, change, study, predicted 
7,species, protect, biodiversity, conservation, extinction, chimpanzees, leopards, giraffes, protection, threatened 
8,species, protect, need, just, action, habitats, many, read, first, protectwldlife 
9,biodiversity, responsible, nations, global, countries, conservation, seven, per, cent, australia 
10,species, protect, one, conservation, work, today, bee, bad, ecology, join                                                                                   
11,biodiversity, australia, worlds, loss, offender, secondworst, worst, conservation, conversationedu,auspol                                                                    
12,conservation, nature, biodiversity, species, views, habitat, sustainable, buy, science,image                                                                             
13,wildlife, species, protect, new, orangutan, news, environment, great, endangered, forests                                                                                   
14,conservation, species, saving, endangered, dead, spooky, bodies, world, billion, spent                                                                                     
15,conservation, species, migratory, animal, efforts, cmscop, protected, hope, convention, love